text,intent
what expression would i use to say i love you if i were an italian,translate
what expesSion would i us eto say i love you i i were an italian,translate
"can you tell me how to say 'i do not speak much spanish', in spanish",translate
"cna you tell me how to sa y'ii do not speak much spanish', in spanish",translate
"what is the equivalent of, 'life is good' in french",translate
"what is the equivalent of, 'life is good' in french",translate
"tell me how to say, 'it is a beautiful morning' in italian",translate
"tell me how to say, 'it is A beautiful morning' in italiaN 😩",translate
"if i were mongolian, how would i say that i am a tourist",translate
"if i wwere mnogolian, how would i say that i am a touist",translate
how do i say 'hotel' in finnish,translate
ho od i say 'hotel' in finnih 🤗👌,translate
"i need you to translate the sentence, 'we will be there soon' into portuguese",translate
"i need yyou to translate the sentence, 'we will be there soon' into portuguuese",translate
please tell me how to ask for a taxi in french,translate
please tell me how to ask for a taix in french,translate
"can you tell me how i would say, 'more bread please' in french",translate
"can u tell me how i would say, 'ore bread please' in french llmao",translate
what is the correct way to say 'i am a visitor' in french,translate
what is the correct way to say 'i am a vistor' in french,translate
