text,intent
what expression would i use to say i love you if i were an italian,translate
what were use to say i you if i facial expression an italian,translate
"can you tell me how to say 'i do not speak much spanish', in spanish",translate
"can you tell me how often say 'i do not to spanish', spanish",translate
"what is the equivalent of, 'life is good' in french",translate
"what equivalent the be of, 'life is good' in french",translate
"tell me how to say, 'it is a beautiful morning' in italian",translate
"tell Maine how to say, 'it is a beautiful morning' italian in",translate
"if i were mongolian, how would i say that i am a tourist",translate
"if were 1 mongolian, how i say that i am a tourist",translate
how do i say 'hotel' in finnish,translate
i doh say 'hotel' in finnish,translate
"i need you to translate the sentence, 'we will be there soon' into portuguese",translate
"i need you to bequeath the sentence, 'we translate be there soon' portuguese",translate
please tell me how to ask for a taxi in french,translate
please tell me how type A ask for to taxi in french,translate
"can you tell me how i would say, 'more bread please' in french",translate
you can tell me how would 'more breadstuff please' in french,translate
what is the correct way to say 'i am a visitor' in french,translate
is the correct direction visitor' say 'i am a to in french,translate
