intent,description
accept_reservations,"This intent is about: reservations, take reservations, take, does, reservations at, at, they take, they"
account_blocked,"This intent is about: account, why, bank account, bank, my bank, my, hold, my account"
alarm,"This intent is about: alarm, an alarm, alarm for, set, an, for, set an, tomorrow"
application_status,"This intent is about: application, card application, credit card, card, credit, my credit, my, has"
apr,"This intent is about: apr, the apr, card, apr on, credit card, card apr, my, credit"
are_you_a_bot,"This intent is about: are you, are, you, or, real, person, human, bot"
balance,"This intent is about: balance, bank, my, my bank, account, in my, money, in"
bill_balance,"This intent is about: bill, how much, much, bills, my, how, owe, much is"
bill_due,"This intent is about: due, bill, when, is, bill due, my, pay, is due"
book_flight,"This intent is about: flight, from, flight from, to, on, march, me flight, returning"
book_hotel,"This intent is about: hotel, in, hotel in, from, room, near, to, book"
calculator,"This intent is about: what is, is, what, times, of, square, square root, root of"
calendar,"This intent is about: calendar, my calendar, calendar for, on, on my, for, march, my"
calendar_update,"This intent is about: calendar, my calendar, calendar for, my, on, remove, for, add"
calories,"This intent is about: calories, many calories, how many, many, in, calories in, calories are, calorie"
cancel,"This intent is about: stop, cancel, cancel that, that, please, you, talking, process"
cancel_reservation,"This intent is about: reservation, cancel, cancel my, my reservation, dinner, the reservation, at, reservation for"
car_rental,"This intent is about: car, rental, rent, rent car, in, rental car, car rental, car in"
card_declined,"This intent is about: my card, declined, card, why, was, card was, yesterday, my"
carry_on,"This intent is about: carry, carry on, on, ons, carry ons, the carry, delta, restrictions"
change_accent,"This intent is about: male, voice, accent, male voice, british, female, female voice, the male"
change_ai_name,"This intent is about: name, your name, your, change your, change, name to, to, you"
change_language,"This intent is about: language, to, your language, in, french, your, spanish, english"
change_speed,"This intent is about: speak, slow, speech, your, speed, faster, you, down"
change_user_name,"This intent is about: call me, call, me, name, you can, my name, can call, you"
change_volume,"This intent is about: volume, the volume, volume to, increase, turn, the, your, please"
confirm_reservation,"This intent is about: reservation, at, confirm, my reservation, reservation for, confirm my, for, pm"
cook_time,"This intent is about: how long, long, cook, how, long should, long do, should, to cook"
credit_limit,"This intent is about: limit, credit limit, credit, my, limit on, card, on my, my visa"
credit_limit_change,"This intent is about: limit, credit limit, credit, increase, increase my, my credit, my, can increase"
credit_score,"This intent is about: score, credit score, my credit, credit, my, rating, credit rating, find"
current_location,"This intent is about: location, my location, my current, current location, current, map, my, where am"
damaged_card,"This intent is about: card, my card, report, my, damaged, card is, it, to report"
date,"This intent is about: date, the date, today, what, tomorrow, is, today date, the"
definition,"This intent is about: definition, what, mean, definition of, the definition, of, what is, the"
direct_deposit,"This intent is about: direct, direct deposit, deposit, up direct, set up, up, set, to set"
directions,"This intent is about: to, the, bus, get to, to the, nearest, the nearest, closest"
distance,"This intent is about: get to, to, long, it take, take, how long, to get, take to"
do_you_have_pets,"This intent is about: pets, you, you have, do you, of pets, have, or, do"
exchange_rate,"This intent is about: dollars, exchange, yen, exchange rate, rate, the exchange, pesos, euros"
expiration_date,"This intent is about: card, expire, expiration, my, date, expires, expiration date, card expires"
find_phone,"This intent is about: phone, my phone, my, find my, find, help, where, phone is"
flight_status,"This intent is about: flight, my flight, when, my, dl123, flight dl123, status, status of"
flip_coin,"This intent is about: coin, flip, flip coin, tails, coin flip, heads, or tails, heads or"
food_last,"This intent is about: in the, fridge, the fridge, how long, long, in, the, how"
freeze_account,"This intent is about: account, bank account, my account, my, bank, my bank, on my, freeze"
fun_fact,"This intent is about: about, fact, fun, fact about, trivia, fun fact, tell me, me"
gas,"This intent is about: gas, tank, much gas, have, my gas, how much, gas tank, of gas"
gas_type,"This intent is about: car, gas, this car, of gas, this, of, type, kind of"
goodbye,"This intent is about: later, goodbye, bye, it was, you, see you, see, with you"
greeting,"This intent is about: how, how are, you, hello, are you, are, doing, you doing"
how_busy,"This intent is about: busy, at, wait, how busy, how, around, busy is, be"
how_old_are_you,"This intent is about: old, how old, you, age, how, your, are, are you"
improve_credit_score,"This intent is about: score, credit score, credit, my credit, my, improve, improve my, hurt"
income,"This intent is about: income, my income, my, how much, much, salary, what, how"
ingredient_substitution,"This intent is about: substitute, can, instead, instead of, can use, milk, for, use"
ingredients_list,"This intent is about: ingredients, what ingredients, what, to make, make, ingredients are, do need, do"
insurance,"This intent is about: benefits, health, insurance, my health, plan, my insurance, health benefits, what"
insurance_change,"This intent is about: insurance, new, new insurance, plan, insurance plan, my insurance, insurance policy, policy"
interest_rate,"This intent is about: interest, interest rate, rate, the interest, my interest, my, account, rate for"
international_fees,"This intent is about: fees, card in, card, transaction fees, transaction, in, if, if use"
international_visa,"This intent is about: visa, visa to, to, do need, need, need visa, do, travel"
jump_start,"This intent is about: jump, car, jump start, start, battery, to jump, my car, car battery"
last_maintenance,"This intent is about: last, car, my car, when, was, shop, my, when did"
lost_luggage,"This intent is about: luggage, my luggage, lost, my, ab123, flight, flight ab123, luggage is"
make_call,"This intent is about: call, phone, dial, to call, call to, phone call, to, you call"
maybe,"This intent is about: either, maybe, not, it, sure, answer, could be, that"
meal_suggestion,"This intent is about: meal, dinner, suggest, for dinner, suggestion, meal from, me, suggest meal"
meaning_of_life,"This intent is about: life, meaning, of life, meaning of, the meaning, of, the, what"
